date,mor_temp,mor_humid,mor_wspd,mor_wdeg,mor_cloud,mor_weather_id,noo_temp,noo_humid,noo_wspd,noo_wdeg,noo_cloud,noo_weather_id,aft_temp,aft_humid,aft_wspd,aft_wdeg,aft_cloud,aft_weather_id,daily_power
2011-10-10,16.79857142857143,82.28571428571429,7.285714285714286,250.0,62.142857142857146,803,18.784,69.6,7.6,244.0,32.0,802,16.752857142857142,77.85714285714286,7.0,250.0,45.0,802,6.400000000000006
2011-10-11,15.838571428571427,81.42857142857143,7.142857142857143,245.71428571428572,62.142857142857146,802,17.404000000000003,74.4,6.4,252.0,75.0,803,16.17285714285714,79.0,6.1000000000000005,247.14285714285714,67.14285714285714,803,4.800000000000011
2011-10-26,10.331428571428573,83.0,4.857142857142857,194.28571428571428,77.14285714285714,803,13.437999999999999,63.4,5.8,186.0,51.0,803,10.824285714285713,74.85714285714286,2.4285714285714284,148.57142857142858,9.0,800,10.1
2011-10-27,9.051428571428572,80.28571428571429,3.4285714285714284,111.42857142857143,56.57142857142857,803,16.068,58.2,5.6,142.0,75.0,803,12.577142857142858,77.28571428571429,2.142857142857143,131.42857142857142,67.14285714285714,803,10.02
2011-10-28,11.831428571428571,84.85714285714286,1.4285714285714286,177.14285714285714,49.57142857142857,801,17.372,67.4,1.29,194.6,17.0,801,13.801428571428572,81.71428571428571,1.1985714285714286,132.85714285714286,44.285714285714285,802,9.400000000000002
2011-10-29,13.004285714285714,92.71428571428571,1.5714285714285714,154.28571428571428,85.71428571428571,804,16.784,75.6,2.6,188.0,50.0,803,14.995714285714286,82.42857142857143,2.5714285714285716,207.14285714285714,57.142857142857146,802,4.600000000000001
2011-10-30,12.502857142857142,86.57142857142857,3.4285714285714284,208.57142857142858,28.142857142857142,802,15.065999999999999,70.4,3.8,216.0,47.0,802,14.404285714285715,84.42857142857143,2.142857142857143,207.14285714285714,72.14285714285714,803,3.799999999999997
2011-11-10,6.357142857142857,89.28571428571429,1.1428571428571428,101.42857142857143,1.0,800,13.384000000000004,73.6,3.4,92.0,1.0,800,7.257142857142855,88.85714285714286,3.857142857142857,80.0,60.0,701,6.599999999999994
2011-11-11,5.271428571428571,89.28571428571429,3.857142857142857,124.28571428571429,28.857142857142858,802,9.254000000000001,81.2,4.4,138.0,16.6,800,6.824285714285714,85.57142857142857,2.857142857142857,127.14285714285714,1.0,800,4.199999999999989
2011-11-12,5.952857142857143,90.85714285714286,2.142857142857143,120.0,16.428571428571427,800,12.568000000000001,74.0,1.2,86.0,40.2,802,9.167142857142858,83.71428571428571,1.4285714285714286,68.57142857142857,34.42857142857143,802,4.400000000000006
2011-11-13,4.842857142857143,93.0,3.142857142857143,98.57142857142857,77.28571428571429,741,6.29,92.4,3.8,100.0,78.0,741,5.894285714285714,93.0,3.2857142857142856,107.14285714285714,85.71428571428571,741,1.5
2011-11-14,3.7285714285714286,94.57142857142857,2.0,108.57142857142857,90.0,741,8.113999999999999,85.8,2.0,86.0,26.2,800,4.928571428571429,86.42857142857143,1.5714285714285714,67.14285714285714,0.0,701,7.699999999999989
2011-11-15,0.13857142857142857,89.42857142857143,2.4285714285714284,95.71428571428571,1.0,701,6.008000000000001,71.4,3.4,120.0,2.0,800,3.2914285714285714,81.57142857142857,2.0,72.85714285714286,1.1428571428571428,800,6.900000000000006
2011-11-16,-0.11857142857142858,90.28571428571429,2.0,102.85714285714286,14.571428571428571,701,4.882000000000001,71.6,2.2,144.0,20.0,801,1.512857142857143,85.85714285714286,1.0,234.28571428571428,16.285714285714285,701,6.299999999999997
2011-11-17,3.68,92.14285714285714,2.142857142857143,165.71428571428572,78.57142857142857,701,8.278,81.8,2.8,200.0,64.0,802,8.585714285714287,87.42857142857143,2.857142857142857,211.42857142857142,82.85714285714286,701,1.98
2011-11-18,8.081428571428573,89.71428571428571,2.4285714285714284,197.14285714285714,59.285714285714285,701,10.260000000000002,81.0,2.2,184.0,16.4,801,6.3914285714285715,92.0,1.1428571428571428,114.28571428571429,40.0,741,6.200000000000003
2011-11-19,4.071428571428571,96.42857142857143,1.0,110.0,53.714285714285715,741,9.856,82.0,1.6,142.0,40.0,802,4.357142857142857,93.85714285714286,1.8800000000000001,114.0,47.142857142857146,741,6.03
2011-11-20,0.9328571428571427,93.42857142857143,1.0042857142857142,136.57142857142858,50.42857142857143,701,9.356,77.0,1.2,128.0,85.8,804,4.428571428571428,88.57142857142857,1.1428571428571428,61.42857142857143,91.28571428571429,701,6.01
2011-11-21,0.8928571428571429,96.57142857142857,1.8571428571428572,101.42857142857143,90.0,741,4.272,95.8,1.2,104.0,90.0,741,2.5042857142857144,96.42857142857143,1.1428571428571428,95.71428571428571,90.0,741,2.5
2011-11-22,3.697142857142857,91.0,1.002857142857143,115.0,39.42857142857143,701,11.516,81.8,1.2,116.0,40.0,802,7.662857142857143,92.0,1.05,148.42857142857142,39.285714285714285,701,3.3000000000000114
2011-11-23,9.632857142857144,91.57142857142857,1.752857142857143,230.71428571428572,67.14285714285714,803,11.504,84.4,2.4,264.0,64.0,701,8.838571428571429,86.71428571428571,1.8571428571428572,227.14285714285714,56.42857142857143,701,1.5
2011-11-24,6.9799999999999995,92.14285714285714,2.4285714285714284,205.71428571428572,58.57142857142857,741,9.538,87.2,3.6,196.0,61.0,701,8.56,87.0,3.4285714285714284,202.85714285714286,55.0,701,1.8999999999999773
